GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",2591,267,2350,258,2040,264,143,128,39,55,50,76,0,11,0,11,78,101,66,100,12,18,241,133,73,59,0,11,0,11,0,11,0,11,168,133,0,11,0,11,0,11
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",3275,253,3207,246,2966,279,87,71,94,102,51,42,0,11,0,11,9,14,0,11,9,14,68,68,60,66,0,11,0,11,0,11,0,11,8,13,0,11,0,11,0,11
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",4040,352,3928,358,3311,305,404,273,0,11,64,54,0,11,0,11,149,133,0,11,149,133,112,96,53,52,0,11,1,2,0,11,0,11,58,82,0,11,0,11,0,11
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",2750,247,2648,268,1628,245,697,191,7,11,87,81,81,82,0,11,148,117,0,11,148,117,102,85,77,78,0,11,6,9,0,11,0,11,19,22,0,11,0,11,0,11
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",3771,570,3397,561,1799,418,1336,388,19,27,41,41,0,11,0,11,202,168,0,11,202,168,374,408,370,407,4,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",3452,468,3115,479,1823,268,1077,291,6,10,0,11,0,11,0,11,209,203,0,11,209,203,337,258,337,258,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",2802,287,2658,308,2234,265,319,214,0,11,0,11,0,11,0,11,105,101,0,11,105,101,144,116,60,43,0,11,0,11,0,11,0,11,84,109,0,11,0,11,0,11
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",6367,351,5902,368,5716,374,59,50,10,17,78,75,0,15,0,15,39,40,0,15,39,40,465,374,412,371,0,15,0,15,0,15,18,30,0,15,35,41,23,38,12,20
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",1987,218,1937,218,1807,214,18,29,0,11,94,102,0,11,0,11,18,30,0,11,18,30,50,46,33,38,17,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",2673,205,2498,227,2262,248,224,155,0,11,0,11,0,11,0,11,12,18,0,11,12,18,175,92,125,86,0,11,0,11,0,11,0,11,0,11,50,61,37,59,13,21
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",2028,199,1914,203,1723,203,94,49,22,36,0,11,0,11,0,11,75,47,6,9,69,46,114,75,26,25,0,11,0,11,0,11,0,11,28,35,60,65,5,8,55,61
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",3220,255,3169,274,2764,353,346,241,0,11,12,20,0,11,21,36,26,19,0,11,26,19,51,56,10,15,0,11,0,11,0,11,0,11,41,50,0,11,0,11,0,11
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",1874,121,1821,114,1745,120,43,38,0,11,6,8,0,11,0,11,27,31,0,11,27,31,53,38,53,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",1448,155,1419,149,1102,154,46,53,104,125,65,64,0,11,0,11,102,82,0,11,102,82,29,28,23,26,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",2408,274,2303,278,2056,225,156,190,0,11,20,22,0,11,0,11,71,60,0,11,71,60,105,93,93,92,0,11,0,11,0,11,0,11,0,11,12,18,0,11,12,18
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",3902,279,3867,281,3409,273,340,259,0,11,58,65,0,11,9,13,51,55,0,11,51,55,35,35,35,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",3435,282,3216,275,2867,253,173,107,0,11,105,69,0,11,10,16,61,43,0,11,61,43,219,125,150,94,20,32,0,11,0,11,19,28,30,40,0,11,0,11,0,11
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1597,262,1543,255,1243,215,147,96,1,2,126,83,0,11,0,11,26,30,0,11,26,30,54,41,54,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",3483,337,3390,343,2583,313,454,227,11,16,335,136,0,11,0,11,7,12,0,11,7,12,93,62,60,49,0,11,0,11,0,11,0,11,10,17,23,32,0,11,23,32
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",2977,265,2943,255,1244,182,1437,264,0,11,164,93,0,11,0,11,98,70,0,11,98,70,34,40,34,40,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",2450,359,2387,346,171,127,2102,307,0,11,32,36,0,11,0,11,82,72,0,11,82,72,63,82,63,82,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",2337,322,2193,315,122,82,1921,310,9,13,0,11,0,11,0,11,141,93,0,11,141,93,144,109,99,97,0,11,0,11,0,11,0,11,37,57,8,13,0,11,8,13
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",2993,384,2993,384,126,116,2800,398,0,11,23,27,0,11,0,11,44,65,0,11,44,65,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1724,240,1719,239,7,8,1679,229,0,11,0,11,7,15,0,11,26,41,0,11,26,41,5,8,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",1825,325,1825,325,9,20,1807,331,0,11,0,11,0,11,0,11,9,19,0,11,9,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1455,236,1447,235,16,18,1406,235,5,9,4,7,0,11,0,11,16,26,0,11,16,26,8,10,0,11,0,11,0,11,0,11,0,11,3,4,5,9,5,9,0,11
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",2445,370,2433,370,18,28,2397,373,0,11,0,11,0,11,0,11,18,28,0,11,18,28,12,21,0,11,0,11,0,11,0,11,0,11,0,11,12,21,12,21,0,11
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",2852,364,2837,359,125,72,2680,343,0,11,0,11,0,11,0,11,32,46,0,11,32,46,15,21,8,15,0,11,0,11,0,11,0,11,0,11,7,12,0,11,7,12
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",1709,270,1709,270,17,31,1683,273,9,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",2960,558,2959,558,1,3,2914,553,0,11,0,11,0,11,0,11,44,77,0,11,44,77,1,3,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",1156,212,1156,212,6,10,1128,205,0,11,6,9,0,11,16,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",4675,492,4647,496,72,71,4544,493,22,25,0,11,0,11,0,11,9,14,0,11,9,14,28,32,0,11,28,32,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",2968,426,2968,426,31,36,2937,428,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",2420,358,2420,358,29,35,2346,352,18,30,9,13,0,11,0,11,18,21,0,11,18,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",2197,238,2197,238,42,55,2150,248,0,11,0,11,0,11,0,11,5,7,0,11,5,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",3144,464,3143,464,108,111,3020,442,15,25,0,11,0,11,0,11,0,11,0,11,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11,1,3,0,11,1,3
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",2504,358,2485,361,75,59,2359,364,0,11,0,11,0,11,24,41,27,26,0,11,27,26,19,33,7,13,0,11,0,11,0,11,0,11,0,11,12,20,0,11,12,20
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1987,215,1983,216,115,93,1848,227,0,11,13,19,0,11,0,11,7,11,0,11,7,11,4,6,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",3222,555,3209,552,45,40,3153,548,6,10,0,11,0,11,0,11,5,10,0,11,5,10,13,22,0,11,0,11,0,11,0,11,0,11,0,11,13,22,0,11,13,22
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",2239,357,2190,345,249,175,1941,332,0,11,0,11,0,11,0,11,0,11,0,11,0,11,49,61,25,38,8,12,0,11,0,11,0,11,0,11,16,24,0,11,16,24
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",2879,387,2837,390,27,41,2787,396,0,11,0,11,0,11,0,11,23,31,0,11,23,31,42,41,12,18,0,11,0,11,0,11,0,11,0,11,30,45,0,11,30,45
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",2309,444,2309,444,6,10,2281,443,0,11,22,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1968,356,1947,373,31,37,1916,371,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,31,21,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",2147,357,2147,357,6,9,2115,365,0,11,0,11,0,11,0,11,26,46,0,11,26,46,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",1013,155,1013,155,5,6,995,151,0,11,0,11,0,11,8,12,5,8,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",1814,307,1814,307,54,44,1743,306,0,11,0,11,0,11,0,11,17,17,6,8,11,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",1021,221,1021,221,59,43,928,208,0,11,13,19,0,11,9,14,12,16,0,11,12,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1348,213,1348,213,4,6,1344,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",1396,379,1396,379,11,7,1357,381,0,11,28,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",620,94,620,94,1,4,597,120,0,11,0,11,0,11,0,11,22,39,0,11,22,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",4432,508,4366,507,2793,369,1292,370,26,33,179,85,0,11,0,11,76,76,29,44,47,63,66,55,53,49,0,11,0,11,0,11,0,11,0,11,13,21,13,21,0,11
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",1645,238,1615,242,87,51,1528,241,0,11,0,11,0,11,0,11,0,11,0,11,0,11,30,39,30,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",2038,409,2038,409,23,26,1987,411,0,11,0,11,0,11,14,22,14,22,0,11,14,22,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",4132,336,3965,339,2425,322,1077,284,0,11,394,163,0,11,0,11,69,65,0,11,69,65,167,99,128,71,0,11,31,47,0,11,0,11,8,14,0,11,0,11,0,11
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",2231,164,2216,160,2159,154,29,39,0,11,6,10,0,11,0,11,22,27,0,11,22,27,15,17,7,12,8,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",4334,424,4242,443,3046,348,870,360,16,26,60,72,0,11,0,11,250,187,33,59,217,189,92,92,92,92,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",4002,264,3987,262,3871,253,116,105,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,25,0,11,0,11,0,11,0,11,0,11,0,11,15,25,0,11,15,25
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",4724,391,4578,401,3656,516,522,243,0,11,53,54,0,11,0,11,347,325,0,11,347,325,146,96,57,56,0,11,0,11,0,11,0,11,89,82,0,11,0,11,0,11
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",5300,386,5105,392,4545,367,163,144,0,15,142,129,0,15,19,30,236,189,0,15,236,189,195,121,129,113,0,15,0,15,0,15,0,15,45,53,21,34,21,34,0,15
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",4226,444,3795,448,3112,352,406,161,22,28,56,61,19,33,0,11,180,115,24,40,156,109,431,266,353,235,7,12,0,11,0,11,8,16,29,35,34,51,0,11,34,51
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",3348,379,3167,406,1317,262,1419,282,0,11,198,140,0,11,66,96,167,109,0,11,167,109,181,147,167,142,0,11,0,11,0,11,0,11,14,22,0,11,0,11,0,11
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",5248,538,4929,536,2514,331,1657,462,0,15,588,214,0,15,0,15,170,132,0,15,170,132,319,199,296,201,23,21,0,15,0,15,0,15,0,15,0,15,0,15,0,15
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",3185,390,3078,388,1910,280,806,265,0,11,75,59,20,38,76,118,191,157,0,11,191,157,107,85,89,80,0,11,0,11,0,11,0,11,18,20,0,11,0,11,0,11
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",7069,832,6297,830,2563,619,3543,690,0,15,49,79,0,15,0,15,142,120,0,15,142,120,772,338,664,394,0,15,0,15,0,15,0,15,108,107,0,15,0,15,0,15
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",4815,585,4427,585,1851,413,2315,472,0,11,45,70,0,11,0,11,216,131,0,11,216,131,388,253,313,225,0,11,21,33,0,11,0,11,40,66,14,24,14,24,0,11
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",3789,537,3115,499,1196,279,1695,474,0,11,177,109,0,11,24,42,23,29,0,11,23,29,674,349,596,333,0,11,0,11,54,82,0,11,0,11,24,32,11,21,13,22
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",3231,409,2811,312,1331,164,835,249,30,39,425,148,0,11,10,16,180,176,0,11,180,176,420,265,307,220,4,8,0,11,0,11,0,11,0,11,109,149,109,149,0,11
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",4267,365,4061,364,2779,360,851,247,15,25,280,156,0,11,0,11,136,89,0,11,136,89,206,126,198,123,0,11,0,11,0,11,0,11,8,17,0,11,0,11,0,11
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",3608,418,3296,432,2293,387,694,311,9,15,176,129,0,11,0,11,124,78,0,11,124,78,312,224,239,220,0,11,0,11,0,11,0,11,73,69,0,11,0,11,0,11
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",2477,318,2043,328,403,162,969,240,0,11,628,241,0,11,34,54,9,15,0,11,9,15,434,212,370,206,28,44,0,11,0,11,0,11,36,57,0,11,0,11,0,11
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",4913,616,4372,610,1157,303,2672,534,0,11,313,174,0,11,76,101,154,92,0,11,154,92,541,341,193,188,199,258,0,11,0,11,0,11,41,36,108,135,108,135,0,11
