GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",2591,267,240,128,84,65,10,16,8,12,0,11,0,11,6,9,0,11,0,11,17,21,8,13,7,13,20,22,8,12,0,11,156,107,37,41,7,14,24,38,0,11,0,11,0,11,7,11,18,28,25,25,0,11,29,22,0,11,9,15,2351,245,1239,186,74,56,0,11,27,23,80,59,0,11,41,39,32,22,238,63,158,47,219,63,216,94,85,36,69,30,1112,142,74,50,0,11,69,50,14,17,0,11,14,20,49,46,198,67,135,54,197,50,156,64,67,31,139,42
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",3265,257,436,245,110,90,0,11,0,11,27,40,0,11,0,11,0,11,17,20,0,11,37,39,20,21,1,2,0,11,8,13,326,173,50,48,0,11,0,11,43,46,0,11,0,11,36,35,28,42,35,50,49,35,51,58,8,14,26,28,2829,311,1330,182,154,79,12,20,23,25,12,19,6,10,13,16,129,85,278,86,150,77,124,48,286,59,83,33,60,33,1499,206,112,68,8,14,151,97,20,23,0,11,22,22,57,44,305,84,124,58,190,61,223,77,164,50,123,56
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",4040,352,260,146,149,118,0,11,0,11,0,11,0,11,0,11,0,11,40,59,0,11,0,11,50,77,57,78,1,2,1,2,111,81,0,11,0,11,0,11,0,11,0,11,0,11,7,12,63,73,0,11,0,11,27,31,0,11,14,22,3780,352,2014,308,57,55,0,11,254,136,18,28,34,39,57,67,236,152,180,94,337,89,334,112,323,114,83,48,101,60,1766,189,84,63,39,46,81,63,0,11,15,27,43,35,85,58,260,98,243,93,197,81,358,84,194,82,167,73
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",2750,247,572,222,306,145,69,47,0,11,24,29,24,29,0,11,0,11,10,16,54,51,44,37,16,27,65,52,0,11,0,11,266,109,46,36,18,18,25,32,10,17,0,11,7,12,28,23,66,49,9,16,19,20,30,36,8,13,0,11,2178,300,1138,201,86,58,4,9,18,29,46,44,0,11,93,58,138,73,73,41,154,78,233,86,177,69,98,37,18,21,1040,153,50,39,0,11,47,37,50,45,0,11,0,11,134,66,82,54,152,54,212,81,172,66,62,31,79,42
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",3726,559,1119,427,614,285,143,122,0,11,126,133,0,11,5,9,0,11,33,29,73,71,14,17,98,78,112,74,5,8,5,8,505,191,64,62,31,38,32,40,0,11,0,11,8,15,89,57,120,93,44,34,46,51,68,52,0,11,3,7,2607,494,1373,318,130,97,38,46,155,140,21,33,29,33,72,56,65,57,373,157,184,85,115,68,114,48,50,36,27,24,1234,268,117,117,27,40,92,74,58,55,15,17,4,7,135,77,219,118,182,101,159,85,98,46,91,36,37,27
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",3452,468,1044,338,431,155,70,67,0,11,41,52,30,31,0,11,0,11,43,34,52,52,10,16,107,72,72,57,0,11,6,13,613,257,135,131,0,11,78,91,21,32,0,11,7,12,22,26,121,80,73,63,50,37,86,68,20,22,0,11,2408,487,1298,225,88,72,9,14,115,59,66,39,41,45,48,52,58,56,189,97,165,84,290,109,102,79,78,30,49,38,1110,309,28,44,44,40,105,76,44,50,0,11,31,35,106,97,123,78,162,82,254,88,107,50,47,31,59,36
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",2786,289,260,104,115,57,30,45,0,11,0,11,0,11,0,11,0,11,7,11,7,11,0,11,40,30,31,26,0,11,0,11,145,79,0,11,0,11,0,11,0,11,0,11,0,11,57,55,43,44,0,11,37,45,8,12,0,11,0,11,2526,288,1278,206,155,79,20,22,52,34,7,13,0,11,0,11,63,62,305,108,220,87,258,99,84,36,64,43,50,32,1248,167,33,36,17,17,64,60,8,12,0,11,25,20,66,46,353,111,150,61,91,36,209,54,116,46,116,61
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",6355,354,354,146,135,84,0,15,0,15,18,30,0,15,0,15,0,15,31,45,10,15,0,15,34,37,24,27,0,15,18,27,219,95,14,21,0,15,0,15,0,15,0,15,0,15,32,36,43,39,21,34,40,37,0,15,36,33,33,37,6001,381,3212,338,164,94,15,25,160,72,90,60,27,29,52,41,451,242,497,239,473,130,503,160,509,114,83,49,188,65,2789,248,90,67,13,23,95,61,65,50,15,24,43,40,101,88,543,157,289,93,408,127,510,103,244,72,373,109
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",1969,213,351,238,168,149,0,11,0,11,7,10,33,40,0,11,0,11,49,71,25,26,18,27,13,17,23,35,0,11,0,11,183,98,8,11,0,11,37,44,7,10,0,11,0,11,12,18,28,31,37,41,14,15,14,14,11,12,15,17,1618,142,837,100,69,41,0,11,69,41,13,12,6,9,12,9,27,16,128,52,193,49,102,45,121,34,28,18,69,26,781,98,30,26,0,11,34,27,11,13,23,32,6,10,28,19,135,47,105,39,129,53,107,33,43,26,130,43
