GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Under 6 years,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years,Estimate; Income in the past 12 months below poverty level: - 85 years and over,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",143,128,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,143,128,48,45,7,12,34,46,46,41,8,14,0,11,0,11
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",87,71,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,87,71,14,21,10,17,12,19,51,46,0,11,0,11,0,11
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",404,273,114,106,0,11,0,11,0,11,114,106,0,11,0,11,0,11,290,258,21,34,0,11,0,11,269,254,0,11,0,11,0,11
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",697,191,197,152,37,46,49,60,34,28,77,61,0,11,0,11,0,11,500,218,10,21,18,29,56,53,329,165,87,47,0,11,0,11
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",1328,392,728,394,181,130,145,148,13,18,371,177,13,16,5,8,0,11,600,275,41,50,99,102,100,76,314,117,41,45,5,11,0,11
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",1077,291,337,248,68,110,41,52,14,16,214,119,0,11,0,11,0,11,740,307,19,30,54,52,149,84,468,260,40,56,10,16,0,11
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",309,210,28,24,0,11,0,11,0,11,28,24,0,11,0,11,0,11,281,209,70,73,69,88,0,11,104,82,38,45,0,11,0,11
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",59,50,4,14,0,15,0,15,0,15,4,14,0,15,0,15,0,15,55,49,0,15,0,15,0,15,55,49,0,15,0,15,0,15
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",35,49,31,49,0,11,0,11,0,11,31,49,0,11,0,11,0,11,4,6,0,11,0,11,0,11,4,6,0,11,0,11,0,11
