GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",56169,6278
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",54464,7495
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",49808,9626
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",39183,5966
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",30346,8053
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",36424,6061
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",45775,5000
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",67534,9711
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",49969,3984
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",39479,5512
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",44583,7703
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",41979,4820
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",53125,7606
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",36979,17545
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",50445,4077
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",61553,4383
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",53456,5529
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",51563,10947
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",54497,14847
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",48669,5658
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",22361,5578
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",21875,8250
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",31088,4687
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",17131,2023
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",11295,5060
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",23636,6402
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",22147,5548
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",25066,7921
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",18566,6126
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",23019,8524
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",22230,5347
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",24519,3635
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",24189,4385
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",28988,6938
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",19219,5906
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",33788,5272
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",26202,4804
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",29891,6644
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",32672,5698
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",17636,2373
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",25659,6211
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",21693,5786
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",22131,3539
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",22784,10146
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",20444,7674
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",27216,11465
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",21273,3197
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",20150,4121
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",24688,9614
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",21500,11584
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",51952,9558
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",19703,3913
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",19294,3903
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",51683,5680
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",43586,7335
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",37574,7711
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",53400,7229
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",48064,4445
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",72050,14971
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",27276,3803
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",28696,6709
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",36500,7309
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",34309,8139
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",28323,8255
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",17837,5040
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",26789,4207
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",36019,5113
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",55927,7584
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",53934,10220
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",22274,3658
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",24018,6650
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",36301,4627
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",37731,3032
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",51496,7589
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",46250,8751
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",27222,8932
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",11844,2437
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",32864,2932
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",28357,7680
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",39886,10354
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",45000,15754
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",16684,4225
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",20682,11511
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",17138,5344
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",12487,2552
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",52929,6174
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",66118,25908
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",55227,9420
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",20652,6659
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",25652,12268
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",47458,13975
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",14054,1976
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",52778,7321
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",54192,10534
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",12917,4971
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",18167,6073
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",20500,8998
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",47549,4657
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",24482,3038
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",22773,5603
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",17457,2170
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",41793,3088
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",30833,9717
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",29037,13780
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",27108,5036
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",49457,3440
