GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",47589,46753
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",,
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",42391,4059
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",21788,4609
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",36667,31840
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",,
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",,
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",25192,4926
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",14931,12165
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",38254,8285
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",,
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",,
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",27006,5671
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",52786,34651
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",35167,10826
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",20972,6080
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",22614,8847
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",30347,7761
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",17273,2129
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",11295,5060
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",23409,6848
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",22147,5548
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",25395,7831
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",18529,6214
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",23154,8164
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",22432,5527
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",24679,3581
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",24561,4353
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",27431,7059
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",19180,5872
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",33288,5416
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",26458,5033
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",29620,7248
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",32340,5843
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",17253,2670
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",25363,7165
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",21797,6022
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",22543,3297
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",22784,10146
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",20323,8151
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",29196,11912
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",21042,3303
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",20150,4121
