GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",1179,73,1099,98,80,69
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",1487,108,1384,115,103,71
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",2210,50,2000,154,210,137
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",1449,31,1109,85,340,86
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",1703,86,1369,157,334,141
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",1614,66,1233,103,381,98
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",1718,48,1466,111,252,102
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",3130,68,3012,122,118,104
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",931,27,905,44,26,34
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",1216,33,1141,76,75,68
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",1014,46,969,50,45,61
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",1993,46,1780,106,213,92
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",960,34,925,47,35,31
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",707,25,636,48,71,41
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",1409,56,1247,100,162,93
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",1911,42,1766,97,145,83
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",2035,51,1797,105,238,103
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1347,46,900,131,447,130
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",1916,94,1547,120,369,122
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",1630,43,1475,91,155,81
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",1504,77,1111,129,393,107
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",1201,54,851,85,350,73
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",1564,77,1086,123,478,123
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1267,80,786,85,481,89
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",882,65,615,76,267,73
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1167,63,554,80,613,79
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",1566,72,970,115,596,110
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",1500,77,1121,122,379,118
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",945,68,639,78,306,84
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",2003,96,1343,148,660,137
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",663,38,462,83,201,78
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",2261,89,1826,135,435,109
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",1331,51,908,91,423,89
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",1303,69,895,129,408,120
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",1189,38,874,80,315,71
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",1510,66,1119,114,391,95
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",1287,30,1095,94,192,82
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1077,47,870,77,207,70
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",1647,93,1230,146,417,118
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",1509,82,822,117,687,99
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",1637,87,1161,135,476,120
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",1451,75,955,123,496,110
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1487,87,880,130,607,116
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",1427,42,973,104,454,96
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",904,42,453,59,451,62
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",928,44,617,70,311,67
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",621,94,367,75,254,80
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1179,62,739,95,440,105
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",810,76,459,85,351,89
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",484,31,216,34,268,41
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",2810,119,2304,206,506,203
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",970,26,648,66,322,60
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",1244,77,813,108,431,103
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",2613,115,2356,172,257,140
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",1363,58,1247,82,116,61
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",2593,57,2232,218,361,207
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",2246,72,2006,162,240,160
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",2630,65,2404,139,226,136
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",2767,73,2506,141,261,134
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",1970,69,1793,127,177,109
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",1714,55,1480,91,234,74
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",2321,97,1944,141,377,106
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",1408,54,1156,119,252,101
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",2921,107,2461,177,460,170
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",2931,102,2106,188,825,162
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",1811,83,1364,114,447,107
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",1812,57,1537,148,275,137
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",2364,102,2107,166,257,138
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",1613,47,1423,91,190,91
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",1594,64,1256,132,338,123
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",2523,72,1864,170,659,169
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",2274,77,1914,136,360,131
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",1123,50,952,67,171,62
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",2832,120,2527,180,305,156
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",2335,80,1958,153,377,127
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",825,41,530,64,295,68
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",576,53,421,65,155,59
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",1734,64,1382,124,352,114
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",1912,75,1712,114,200,101
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",2006,55,1705,122,301,115
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",1025,66,870,77,155,73
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",1745,100,1361,123,384,136
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",664,29,432,61,232,56
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",1068,62,939,87,129,69
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",1229,40,953,88,276,70
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",1914,44,1453,116,461,112
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",1606,46,1277,105,329,96
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",1748,48,1448,105,300,98
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",2488,98,1746,160,742,163
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",1913,58,1224,146,689,143
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",1955,77,1455,131,500,122
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",969,36,719,62,250,49
