GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",963,86,860,92,103,53
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",1320,119,1053,91,267,107
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",1759,138,1339,152,420,122
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",779,93,524,90,255,88
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",883,121,333,84,550,142
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",863,101,406,92,457,104
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",1299,116,576,82,723,107
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",2878,132,2041,175,837,160
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",853,54,702,70,151,57
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",1083,77,574,93,509,108
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",815,63,534,60,281,65
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",1456,153,856,117,600,121
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",889,45,639,65,250,58
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",554,59,384,61,170,57
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",1145,94,748,102,397,89
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",1608,105,1332,105,276,77
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",1632,106,782,116,850,128
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",736,115,400,84,336,94
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",1184,135,618,94,566,117
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",681,94,264,56,417,92
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",38,30,31,30,7,10
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",82,34,20,18,62,33
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",37,31,14,18,23,28
