GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",54,43,28,46,26,32
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",20,25,20,25,0,11
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",174,116,44,50,130,108
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",264,64,133,36,131,73
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",411,131,71,58,340,135
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",350,82,69,37,281,98
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",99,57,0,11,99,57
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",35,39,21,34,14,21
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",17,21,0,11,17,21
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",46,34,21,20,25,27
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",49,39,0,11,49,39
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",257,151,11,16,246,150
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",12,14,6,9,6,9
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",17,26,0,11,17,26
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",48,50,9,14,39,49
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",137,95,11,17,126,94
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",79,57,24,22,55,51
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",75,61,3,7,72,59
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",243,115,107,57,136,108
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",684,103,282,62,402,103
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",1003,123,342,95,661,113
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",712,87,90,30,622,90
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",1014,124,519,112,495,117
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",776,83,272,54,504,82
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",615,76,218,58,397,80
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",540,76,264,61,276,74
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",970,115,398,85,572,123
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",1112,122,448,109,664,139
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",630,79,214,57,416,74
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",1336,147,558,132,778,144
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",456,82,215,43,241,75
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",1766,135,993,128,773,161
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",897,92,504,83,393,90
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",855,132,522,90,333,127
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",863,78,456,77,407,94
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",1079,111,561,91,518,117
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",1049,100,638,90,411,107
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",803,81,459,81,344,77
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",1211,146,621,119,590,181
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",727,114,263,57,464,106
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",1127,139,468,118,659,141
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",939,122,381,97,558,120
