GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",1179,73,0,11,0,11,9,13,0,11,15,19,14,16,274,95,643,101,72,39,152,65
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",1487,108,0,11,11,18,67,34,36,34,0,11,64,57,149,57,673,115,54,31,433,94
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",2210,50,0,11,0,11,0,11,36,42,19,29,36,42,65,52,107,74,215,95,1732,144
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",1449,31,0,11,16,20,5,8,19,29,29,28,31,29,14,16,159,59,73,46,1103,86
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",1703,86,0,11,0,11,15,18,113,83,17,19,172,102,199,92,55,39,144,94,988,151
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",1614,66,0,11,0,11,95,74,0,11,0,11,51,59,91,54,194,74,23,27,1160,126
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",1718,48,0,11,0,11,14,17,45,50,0,11,125,65,174,80,361,101,337,103,662,102
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",3130,68,0,15,0,15,0,15,0,15,30,33,0,15,243,108,902,160,517,143,1438,185
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",931,27,0,11,0,11,0,11,6,9,21,27,12,11,93,41,482,63,84,37,233,64
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",1216,33,0,11,0,11,6,9,0,11,0,11,9,15,70,49,132,70,92,51,907,95
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",1014,46,0,11,0,11,5,7,0,11,0,11,12,13,25,16,146,48,120,43,706,68
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",1993,46,0,11,0,11,0,11,35,31,53,56,54,33,126,75,709,169,583,136,433,101
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",960,34,0,11,0,11,13,13,5,8,8,11,33,28,73,42,154,55,104,39,570,70
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",707,25,0,11,0,11,7,9,10,10,9,10,76,48,18,15,211,44,104,47,272,61
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",1409,56,0,11,8,12,0,11,10,16,36,30,16,25,74,60,261,81,160,56,844,111
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",1911,42,0,11,0,11,49,52,25,38,77,52,16,19,102,53,416,82,399,80,827,124
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",2035,51,0,11,4,7,44,30,27,33,50,33,80,50,160,58,220,83,232,85,1218,131
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1347,46,14,21,49,54,333,79,25,17,41,43,27,27,100,63,122,59,66,40,570,108
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",1916,94,6,10,0,11,38,45,55,48,17,18,39,36,206,101,56,39,198,80,1301,125
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",1630,43,0,11,0,11,44,29,29,26,160,56,82,55,46,46,122,67,124,65,1023,116
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",1504,77,0,11,19,31,335,108,0,11,61,55,152,83,130,64,58,40,196,79,553,120
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",1201,54,0,11,0,11,148,49,149,53,119,47,126,48,83,50,48,28,122,45,406,82
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",1564,77,0,11,0,11,233,105,105,69,121,85,56,55,13,22,207,98,8,12,821,147
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1267,80,0,11,0,11,188,65,95,47,25,24,35,29,32,25,67,41,141,55,684,82
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",882,65,0,11,0,11,20,21,15,23,0,11,104,55,209,71,115,60,83,60,336,95
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1167,63,0,11,0,11,0,11,0,11,66,41,99,51,108,53,214,63,170,64,510,95
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",1566,72,0,11,0,11,12,20,46,48,127,81,98,64,335,122,203,80,150,80,595,145
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",1500,77,0,11,0,11,0,11,12,20,0,11,0,11,110,64,169,90,440,107,769,126
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",945,68,0,11,28,31,63,43,0,11,45,36,0,11,85,43,78,46,36,29,610,92
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",2003,96,0,11,0,11,26,35,28,45,0,11,151,85,237,102,170,86,36,22,1355,165
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",663,38,0,11,0,11,12,16,25,38,21,15,22,17,137,69,77,42,104,72,265,81
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",2261,89,0,11,0,11,25,32,18,18,30,31,147,61,256,107,582,120,456,126,747,140
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",1331,51,0,11,0,11,72,47,0,11,50,42,7,9,96,47,244,89,180,72,682,111
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",1303,69,0,11,0,11,38,47,0,11,5,10,9,13,55,41,247,98,113,52,836,127
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",1189,38,0,11,0,11,160,53,0,11,15,16,49,28,180,69,170,57,162,56,453,91
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",1510,66,0,11,0,11,9,14,32,33,42,44,44,41,235,114,447,140,319,104,382,114
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",1287,30,0,11,0,11,19,30,117,57,6,10,70,46,123,79,427,125,141,68,384,98
