GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",702,78,51,36,26,25,8,13,0,11,8,13,0,11,18,21,25,31,0,11,0,11,0,11,0,11,0,11,0,11,25,31,25,31,0,11,18,28,7,13,0,11,651,75,469,82,152,76,48,45,11,17,93,57,317,82,182,66,34,26,0,11,0,11,0,11,0,11,34,26,148,61,69,49,27,30,28,46,14,19,79,41
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",842,70,66,51,47,48,28,42,0,11,28,42,0,11,19,21,19,21,11,17,11,17,0,11,11,17,0,11,0,11,8,14,0,11,0,11,0,11,0,11,8,14,776,86,643,82,261,64,114,52,42,44,105,55,382,59,133,76,46,46,46,46,35,42,0,11,11,19,0,11,87,63,15,16,0,11,0,11,15,16,72,61
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",950,125,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,950,125,801,129,296,79,46,41,69,49,181,97,505,126,149,75,33,41,33,41,0,11,0,11,33,41,0,11,116,61,65,46,10,17,0,11,55,42,51,41
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",589,87,107,50,81,45,81,45,43,38,13,13,25,31,0,11,26,26,0,11,0,11,0,11,0,11,0,11,0,11,26,26,26,26,9,16,9,16,8,12,0,11,482,98,321,84,119,53,5,11,38,38,76,44,202,73,161,77,56,44,47,45,29,33,0,11,18,29,9,15,105,65,33,42,0,11,0,11,33,42,72,53
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",675,141,172,101,29,26,15,21,10,15,0,11,5,8,14,16,143,99,38,60,38,60,38,60,0,11,0,11,0,11,105,87,105,87,6,11,74,80,25,31,0,11,503,120,226,91,135,94,24,31,83,80,28,27,91,42,277,117,81,61,37,46,0,11,0,11,37,46,44,40,196,84,146,75,0,11,73,68,73,61,50,44
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",705,131,142,74,8,16,0,11,0,11,0,11,0,11,8,16,134,78,0,11,0,11,0,11,0,11,0,11,0,11,134,78,113,73,13,21,65,72,35,31,21,27,563,132,318,99,195,81,4,9,44,40,147,71,123,53,245,91,103,64,43,40,0,11,21,33,22,23,60,57,142,65,74,56,0,11,17,29,57,45,68,39
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",567,111,28,41,0,11,0,11,0,11,0,11,0,11,0,11,28,41,0,11,0,11,0,11,0,11,0,11,0,11,28,41,28,41,28,41,0,11,0,11,0,11,539,110,395,83,132,38,58,42,40,32,34,29,263,82,144,70,66,51,9,15,0,11,0,11,9,15,57,50,78,48,46,42,25,38,0,11,21,20,32,25
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",1651,168,75,53,62,49,17,27,0,15,0,15,17,27,45,41,13,20,0,15,0,15,0,15,0,15,0,15,0,15,13,20,13,20,13,20,0,15,0,15,0,15,1576,165,1204,145,392,77,90,59,71,40,231,84,812,138,372,145,132,113,35,42,0,15,0,15,35,42,97,93,240,116,14,23,0,15,0,15,14,23,226,111
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",469,59,50,43,28,36,28,36,0,11,5,9,23,35,0,11,22,19,6,9,6,9,0,11,0,11,6,9,0,11,16,18,11,17,0,11,0,11,11,17,5,8,419,54,289,56,99,43,42,32,21,26,36,22,190,45,130,52,34,33,22,25,0,11,3,6,19,27,12,14,96,40,41,28,19,21,0,11,22,17,55,32
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",611,89,128,67,59,57,59,57,0,11,0,11,59,57,0,11,69,38,21,25,8,13,0,11,8,13,0,11,13,21,48,28,37,29,9,14,28,28,0,11,11,15,483,94,373,85,141,55,67,38,36,32,38,28,232,70,110,52,24,24,0,11,0,11,0,11,0,11,24,24,86,46,36,29,0,11,12,18,24,24,50,34
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",379,63,29,21,11,11,5,7,0,11,0,11,5,7,6,9,18,16,9,13,9,13,0,11,0,11,9,13,0,11,9,10,5,8,0,11,5,8,0,11,4,6,350,64,241,57,106,39,46,22,21,25,39,22,135,40,109,44,34,21,13,12,6,7,0,11,7,9,21,17,75,39,30,27,14,18,0,11,16,19,45,27
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",801,116,41,66,0,11,0,11,0,11,0,11,0,11,0,11,41,66,0,11,0,11,0,11,0,11,0,11,0,11,41,66,41,66,0,11,41,66,0,11,0,11,760,113,578,83,224,43,106,48,48,35,70,38,354,74,182,122,75,100,68,99,0,11,0,11,68,99,7,11,107,68,33,40,0,11,0,11,33,40,74,55
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",447,59,22,16,16,13,8,10,0,11,8,10,0,11,8,9,6,9,0,11,0,11,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11,0,11,6,9,425,63,335,62,121,42,43,33,12,13,66,29,214,49,90,42,12,12,12,12,0,11,0,11,12,12,0,11,78,37,43,31,21,32,0,11,22,16,35,20
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",327,54,25,19,8,9,8,9,8,9,0,11,0,11,0,11,17,21,13,21,13,21,0,11,13,21,0,11,0,11,4,7,0,11,0,11,0,11,0,11,4,7,302,53,194,45,116,39,47,29,17,19,52,27,78,30,108,50,46,30,25,26,0,11,0,11,25,26,21,20,62,43,40,34,11,18,0,11,29,28,22,27
