GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Under 6 years
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years
HD01_VD04,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years
HD02_VD04,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years
HD02_VD05,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years
HD02_VD06,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years
HD01_VD07,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years
HD02_VD07,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years
HD01_VD08,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years
HD02_VD08,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years
HD01_VD09,Estimate; Income in the past 12 months below poverty level: - 85 years and over
HD02_VD09,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over
HD01_VD10,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD10,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD11,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years
HD02_VD11,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years
HD01_VD12,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years
HD02_VD12,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years
HD01_VD13,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years
HD02_VD13,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years
HD01_VD14,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years
HD02_VD14,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years
HD01_VD15,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years
HD02_VD15,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years
HD01_VD16,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years
HD02_VD16,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years
HD01_VD17,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over
HD02_VD17,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
