GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",2040,264,105,56,8,12,0,11,0,11,80,48,8,12,9,15,0,11,1935,257,67,54,89,59,115,68,1188,165,277,107,125,43,74,37
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",2956,282,428,244,50,48,27,40,43,46,251,141,23,21,34,27,0,11,2528,317,263,89,126,98,50,36,1432,196,479,107,104,54,74,45
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",3311,305,146,102,0,11,0,11,0,11,58,62,73,82,1,2,14,22,3165,322,133,71,241,126,156,115,1855,265,512,148,186,85,82,56
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",1628,245,227,147,28,29,0,11,0,11,160,93,39,44,0,11,0,11,1401,266,89,81,14,22,124,81,806,201,281,92,74,43,13,14
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",1766,402,302,145,11,17,0,11,0,11,265,140,23,17,3,7,0,11,1464,353,113,114,100,79,18,21,1039,221,135,55,21,19,38,29
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",1823,268,391,149,41,64,0,11,0,11,294,122,50,42,6,13,0,11,1432,273,71,57,111,69,29,30,969,194,154,48,74,44,24,25
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",2228,264,232,103,30,45,0,11,0,11,194,76,8,14,0,11,0,11,1996,259,155,80,47,41,33,24,1358,180,250,74,62,45,91,60
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",5704,378,266,122,14,21,0,15,0,15,141,93,60,47,36,56,15,24,5438,387,282,122,239,92,269,106,3265,344,838,172,357,103,188,95
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",1789,208,295,225,0,11,37,44,40,41,161,115,42,39,8,12,7,12,1494,140,83,44,81,38,59,30,901,108,171,54,109,48,90,31
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",2262,248,534,234,41,46,31,34,94,97,317,132,39,33,12,18,0,11,1728,259,137,63,60,40,62,59,1210,201,214,59,23,22,22,19
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",1706,187,187,84,16,17,28,23,11,15,111,55,6,7,15,19,0,11,1519,189,141,52,73,49,46,35,984,120,195,57,50,35,30,22
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",2764,353,225,203,41,65,0,11,41,65,125,86,9,13,0,11,9,14,2539,321,226,90,57,50,144,77,1645,234,282,95,139,58,46,28
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",1745,120,170,83,20,25,9,12,10,14,95,52,25,21,11,11,0,11,1575,139,115,47,71,31,54,30,1035,102,215,53,45,24,40,23
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",1102,154,211,80,26,21,15,24,0,11,104,42,38,30,23,26,5,8,891,152,108,61,42,34,59,36,570,109,70,31,37,21,5,8
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",2056,225,233,86,0,11,9,14,6,10,137,67,56,49,25,27,0,11,1823,258,187,131,41,36,45,45,1170,187,296,79,57,37,27,25
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",3397,270,184,77,27,30,0,11,0,11,96,50,10,16,51,37,0,11,3213,281,161,62,133,57,199,97,2099,197,481,92,100,49,40,27
