GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",2161,182,1359,123,1359,123,1303,121,56,36,0,11,802,129
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",2647,234,1900,219,1900,219,1732,231,168,80,0,11,747,127
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",3458,289,2416,261,2416,261,2166,244,250,133,0,11,1042,216
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",2233,204,1392,232,1392,232,1260,227,132,73,0,11,841,170
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",2643,351,1859,301,1859,301,1575,258,284,155,0,11,784,169
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",2537,284,1688,255,1672,258,1339,206,333,165,16,27,849,203
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",2400,208,1736,211,1736,211,1623,192,113,66,0,11,664,140
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",5589,333,4160,358,4160,358,3988,366,172,69,0,15,1429,210
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",1622,141,1104,106,1104,106,1010,107,94,46,0,11,518,143
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",2090,174,1568,154,1568,154,1376,166,192,97,0,11,522,142
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",1684,133,1235,144,1235,144,1131,141,104,53,0,11,449,91
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",2657,200,1933,158,1933,158,1862,158,71,49,0,11,724,226
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",1582,104,1193,93,1193,93,1141,98,52,32,0,11,389,64
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",1094,114,791,87,791,87,745,85,46,27,0,11,303,63
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",2047,184,1590,186,1590,186,1504,190,86,44,0,11,457,84
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",3274,197,2497,191,2497,191,2362,186,135,60,0,11,777,115
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",3097,264,2413,209,2413,209,2318,212,95,62,0,11,684,166
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1482,224,1171,208,1171,208,1089,190,82,53,0,11,311,69
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",3185,320,2220,306,2220,306,2102,301,118,72,0,11,965,236
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",2630,243,1865,226,1865,226,1703,210,162,77,0,11,765,138
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",1958,269,1088,213,1088,213,881,198,207,89,0,11,870,182
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",1604,227,912,146,912,146,772,135,140,53,0,11,692,135
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",2365,287,1476,272,1476,272,1249,256,227,115,0,11,889,165
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1398,178,644,129,644,129,444,96,200,80,0,11,754,136
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",1199,189,605,154,605,154,384,112,221,86,0,11,594,134
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1106,168,547,125,547,125,406,97,141,72,0,11,559,123
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",1940,242,1192,178,1192,178,811,171,381,132,0,11,748,139
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",2438,325,1239,174,1239,174,981,166,258,85,0,11,1199,252
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",1337,189,726,133,726,133,465,95,261,110,0,11,611,134
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",2379,449,1221,250,1221,250,939,236,282,127,0,11,1158,353
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",871,142,454,106,430,103,405,104,25,24,24,22,417,105
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",4033,327,2138,284,2104,280,1617,241,487,132,34,53,1895,253
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",2078,245,1091,194,1091,194,711,158,380,116,0,11,987,151
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",2016,269,1163,254,1163,254,871,221,292,153,0,11,853,175
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",1764,167,1056,130,1056,130,831,137,225,82,0,11,708,124
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",2436,376,1339,179,1339,179,1002,197,337,154,0,11,1097,355
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",2137,217,936,190,936,190,749,150,187,108,0,11,1201,161
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1683,182,1089,163,1089,163,872,174,217,91,0,11,594,117
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",2523,382,1297,254,1297,254,1016,216,281,127,0,11,1226,271
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",1556,188,945,154,945,154,737,136,208,81,0,11,611,123
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",2342,347,1335,309,1335,309,957,225,378,206,0,11,1007,217
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",1818,315,905,210,905,210,632,151,273,113,0,11,913,196
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1702,287,1093,244,1093,244,839,195,254,121,0,11,609,125
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",1786,203,1041,176,1041,176,866,164,175,95,0,11,745,156
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",825,112,376,72,376,72,268,58,108,42,0,11,449,72
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",1436,214,833,192,833,192,484,129,349,122,0,11,603,141
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",811,142,445,89,445,89,324,75,121,62,0,11,366,91
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1190,180,615,142,615,142,416,128,199,101,0,11,575,104
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",976,204,542,176,542,176,408,130,134,68,0,11,434,111
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",446,71,208,68,208,68,192,63,16,19,0,11,238,87
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",3902,439,2859,444,2859,444,2761,440,98,61,0,11,1043,210
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",1222,156,809,132,809,132,619,123,190,83,0,11,413,92
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",1486,291,762,165,762,165,539,139,223,69,0,11,724,224
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",3952,324,2720,326,2720,326,2492,334,228,114,0,11,1232,229
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",2001,161,1452,150,1452,150,1346,135,106,48,0,11,549,128
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",3734,380,3006,333,3006,333,2725,357,281,146,0,11,728,204
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",3320,235,2466,261,2466,261,2368,243,98,71,0,11,854,195
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",4057,283,3259,307,3259,307,3135,327,124,79,0,11,798,159
