GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",1099,98,952,109,147,66
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",1384,115,1099,102,285,109
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",2000,154,1413,159,587,165
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",1109,85,682,102,427,105
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",1369,157,448,114,921,175
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",1233,103,481,95,752,115
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",1466,111,593,84,873,126
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",3012,122,2111,171,901,165
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",905,44,727,63,178,62
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",1141,76,607,97,534,107
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",969,50,548,59,421,75
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",1780,106,873,119,907,158
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",925,47,650,67,275,66
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",636,48,442,54,194,53
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",1247,100,777,108,470,107
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",1766,97,1364,100,402,100
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",1797,105,823,121,974,143
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",900,131,412,87,488,107
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",1547,120,733,101,814,126
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",1475,91,597,83,878,107
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",1111,129,417,99,694,114
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",851,85,126,43,725,88
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",1086,123,552,120,534,117
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",786,85,282,57,504,82
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",615,76,218,58,397,80
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",554,80,273,62,281,76
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",970,115,398,85,572,123
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",1121,122,450,108,671,138
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",639,78,214,57,425,74
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",1343,148,565,132,778,144
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",462,83,221,44,241,75
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",1826,135,1035,125,791,164
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",908,91,515,81,393,90
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",895,129,544,89,351,130
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",874,80,467,80,407,94
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",1119,114,601,96,518,117
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",1095,94,653,87,442,103
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",870,77,513,78,357,77
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",1230,146,627,119,603,182
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",822,117,313,56,509,114
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",1161,135,482,119,679,139
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",955,123,391,97,564,121
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",880,130,296,79,584,135
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",973,104,447,92,526,134
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",453,59,222,43,231,55
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",617,70,245,56,372,80
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",367,75,169,50,198,72
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",739,95,183,49,556,96
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",459,85,213,64,246,66
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",216,34,91,43,125,37
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",2304,206,872,175,1432,215
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",648,66,234,56,414,71
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",813,108,254,58,559,93
